Level 2;English Keywords
desk pads & blotters;Protective mats placed on workspaces to provide a smooth writing surface and prevent damage to the desk.
diaper bags;Specialized tote bags with multiple compartments designed to carry baby wipes, bottles, and changing supplies.
diapering;Nappies, baby wipes, rash creams, and changing tables essential for infant hygiene and waste management.
digital goods & currency;Intangible virtual items including downloadable software, gift cards, and video game microtransaction funds.
dry boxes;Watertight, crushproof containers used to protect sensitive gear and electronics from moisture and harsh environments.
duffel bags;Large, cylindrical canvas or fabric bags with sturdy handles, commonly used for sports gear and travel.
dvds & videos;Physical media discs and digital formats containing recorded movies, television shows, and visual entertainment.
electronics accessories;Cables, chargers, adapters, and protective cases that support and connect personal electronic devices.
emergency preparedness;Survival kits, emergency food rations, and first aid supplies gathered in case of natural disasters.
entertainment centers & tv stands;Furniture units specifically designed to hold televisions, media players, and gaming consoles.
erotic;Adult-oriented products, romantic novelties, and intimate accessories intended for sexual wellness and pleasure.
event tickets;Passes and admission vouchers for live concerts, sports games, theater shows, and festivals.
exercise & fitness;Equipment like treadmills, weights, and yoga mats used for physical workouts and health improvement.
fanny packs;Small pouches attached to a belt worn around the waist or hips for carrying personal essentials hands-free.
fencing & barriers;Posts, wire, and panels used to enclose properties, define boundaries, or restrict access to certain areas.
filing & organization;Office supplies like folders, binders, and document trays used to systematically store and retrieve paperwork.
film & television;Production equipment, props, and professional gear used in the creation and broadcasting of movies and TV shows.
finance & insurance;Services, software, and tools related to money management, banking, investment, and risk protection.
fireplace & wood stove accessories;Tools, log racks, and screens used for the maintenance and safe operation of indoor hearths.
fireplaces;Indoor or outdoor architectural structures designed to contain a fire for heating or decorative ambiance.
flood, fire & gas safety;Smoke detectors, fire extinguishers, carbon monoxide alarms, and water sensors that protect homes from hazards.
food items;Edible consumer goods ranging from fresh produce and meats to packaged snacks and pantry staples.
food service;Commercial kitchen equipment, buffet displays, and bulk supplies used by restaurants and catering businesses.
forestry & logging;Heavy chainsaws, felling tools, and timber processing equipment used in woodland management and wood harvesting.
fuel containers & tanks;Specialized, secure receptacles designed for the safe storage and transport of gasoline, diesel, or propane.
furniture sets;Matching collections of furnishings sold together, such as a dining table with chairs or a complete bedroom suite.
futon frames;The wooden or metal structural bases that support convertible futon mattresses for sitting or sleeping.
futon pads;Thick, flexible mattresses designed to fold easily when used on a convertible futon sofa frame.
futons;Convertible pieces of furniture that function as a couch during the day and can be flattened into a bed at night.
game timers;Specialized clocks and digital timers used to strictly track turns and periods in board games or sports.
games;Rule-based recreational activities including board games, card games, and tabletop puzzles for group entertainment.
garment bags;Long, protective zippered covers used to transport suits, dresses, and formal wear without wrinkling.
general office supplies;Everyday desk essentials like staplers, tape, paper clips, and scissors used in administrative workspaces.
gps accessories;Mounts, protective cases, and charging cables designed specifically for global positioning system devices.
gps navigation systems;Electronic devices that use satellite signals to determine location and provide turn-by-turn driving directions.
hairdressing & cosmetology;Professional salon chairs, hair clippers, styling tools, and supplies used by barbers and stylists.
handbag & wallet accessories;Add-on items like replacement straps, purse organizers, and keychain charms designed to customize bags.
handbags, wallets & cases;Personal accessories including purses and pocketbooks used for carrying money, cards, and daily essentials.
hardware accessories;Fasteners such as screws, nails, hinges, and brackets essential for basic repairs and woodworking.
hardware pumps;Mechanical devices like sump pumps and water transfer pumps used to move fluids in plumbing and industrial settings.
health care;Medical equipment, over-the-counter medicines, and therapeutic aids intended to maintain or improve human health.
heating, ventilation & air conditioning;HVAC systems, climate control units, and ductwork components used to regulate indoor temperature and air quality.
heavy machinery;Massive industrial vehicles like excavators, bulldozers, and cranes used in major construction and earthmoving projects.
hobbies & creative arts;Supplies, tools, and materials used for personal crafts, painting, modeling, and DIY artistic projects.
hotel & hospitality;Commercial-grade bedding, housekeeping carts, and guest amenities designed for the lodging and tourism industry.
household appliance accessories;Replacement water filters, vacuum bags, and attachments designed to maintain major home machines.
household appliances;Large electric machines like refrigerators, washing machines, and ovens that automate domestic chores.
household supplies;Everyday cleaning chemicals, trash bags, paper towels, and consumables used to maintain a clean home.
impulse sealers;Electrical packaging tools used to securely melt and seal plastic bags for food storage or retail packaging.
indoor games;Recreational setups like billiards, table tennis, and dartboards designed to be played inside homes or arcades.
industrial storage;Heavy-duty pallet racks, steel shelving, and large bins used for organizing inventory in warehouses and factories.
industrial storage accessories;Wire decking, rack protectors, and labeling systems used to optimize and secure warehouse shelving units.
janitorial carts & caddies;Wheeled trolleys equipped with mop buckets, trash bags, and cleaning supplies used by professional custodial staff.
jewelry;Decorative items worn for personal adornment, including necklaces, rings, and bracelets often made of precious metals.
jewelry cleaning & care;Ultrasonic machines, polishing cloths, and specialized liquid solutions used to restore the shine to precious metals and gems.
kitchen & dining;Cookware, utensils, and appliances used for preparing, serving, and consuming food in a household.
lap desks;Portable, cushioned trays or solid boards designed to provide a stable workspace for laptops or writing while sitting.
law enforcement;Tactical gear, uniforms, and specialized equipment used by police and security personnel to maintain public safety.
lawn & garden;Tools, fertilizers, and outdoor equipment designed for cultivating plants and maintaining residential yard spaces.
lighting;Fixtures, bulbs, and lamps used to provide artificial illumination for indoor and outdoor environments.
lighting accessories;Add-on components like lamp shades, light switches, and dimmer controls used to modify or repair light fixtures.
linens & bedding;Fabric goods such as sheets, blankets, and pillowcases used to cover mattresses and provide warmth during sleep.
live animals;Living creatures including domestic pets, livestock, and aquarium fish sold for companionship or agricultural purposes.
locks & keys;Security hardware devices and their corresponding opening mechanisms used to restrict access to doors and containers.
luggage accessories;Items like travel tags, suitcase straps, and TSA-approved locks designed to secure and identify baggage.
magazines & newspapers;Periodical publications containing news, articles, and illustrations printed on paper for regular distribution.
manufacturing;Heavy machinery, assembly line tools, and industrial materials used for the mass production of commercial goods.
marine electronics;Waterproof navigation systems, fish finders, and communication radios specifically engineered for use on boats.
material handling;Forklifts, pallet jacks, and conveyor systems designed to efficiently move, store, and transport heavy goods.
medical;Diagnostic instruments, clinical supplies, and healthcare equipment used by professionals to treat patients.
memorial ceremony supplies;Urns, caskets, and commemorative items designed for funerals, burials, and remembering the deceased.
messenger bags;Crossbody shoulder bags with a fold-over flap, traditionally used by couriers but popular for carrying laptops and books.
mining & quarrying;Heavy extraction equipment, drills, and safety gear used to harvest minerals and stone from the earth.
music & sound recordings;Audio media including vinyl records, CDs, and digital tracks containing produced musical performances.
name plates;Engraved or printed signs typically placed on desks or doors to identify a person's name and professional title.
networking;Routers, switches, and ethernet cables used to connect computers and devices to local networks and the internet.
nursing & feeding;Breast pumps, baby bottles, and high chairs designed to assist parents in nourishing infants and toddlers.
office & chair mats;Protective floor coverings placed under rolling desk chairs to prevent damage to carpets and hard floors.
office carts;Wheeled utility stands and mobile shelving units used to transport mail, files, and equipment around a workspace.
office equipment;Essential administrative machines such as shredders, laminators, and copiers used to process paperwork.
office furniture;Desks, ergonomic chairs, and filing cabinets designed to create functional and comfortable professional workspaces.
office furniture accessories;Ergonomic footrests, monitor arms, and desk organizers used to enhance the comfort and utility of workstations.
office instruments;Precision tools like rulers, protractors, and calculators used for drafting, measuring, and administrative tasks.
optics;Scientific and recreational devices like binoculars, microscopes, and telescopes used to magnify distant or tiny objects.
ottomans;Upholstered, backless seating pieces often used as footrests, extra chairs, or hidden storage units in living rooms.
outdoor furniture;Weather-resistant seating, tables, and loungers designed specifically for patios, gardens, and decks.
outdoor furniture accessories;Protective covers, replacement cushions, and umbrella bases intended to maintain and enhance patio furniture.
outdoor play equipment;Swing sets, trampolines, and slides designed for children's recreational physical activities in backyards or parks.
outdoor recreation;Gear, tents, and equipment designed for outdoor leisure activities like camping, hiking, and fishing.
paper handling;Staplers, hole punches, and paper cutters used to bind, organize, and alter printed documents.
parasols & rain umbrellas;Portable, collapsible canopies supported by a central pole, used to protect against sun exposure and precipitation.
party & celebration;Decorations, balloons, and disposable tableware designed to create a festive atmosphere for special events.
personal care;Hygiene products, cosmetics, and grooming tools used for daily bodily maintenance and beauty routines.
pet supplies;Food, toys, habitats, and grooming tools specifically manufactured for the care and entertainment of domestic animals.
photography;Cameras, studio lighting, and darkroom equipment used for capturing, developing, and displaying visual images.
piercing & tattooing;Needles, professional inks, and sterilization equipment used by body modification artists.
plants;Living flora, including potted houseplants, garden shrubs, and agricultural seeds, grown for decoration or food.
plumbing;Pipes, faucets, valves, and water heaters used to distribute clean water and remove waste in buildings.
pool & spa;Chemicals, cleaning vacuums, and heating equipment required to maintain clean and safe swimming environments.
potty training;Miniature toilets, step stools, and transitional pants designed to help toddlers transition from diapers to toilets.
power & electrical supplies;Circuit breakers, extension cords, and outlets used to safely distribute electricity throughout a building.
presentation supplies;Whiteboards, markers, and laser pointers utilized to display information and visual aids during meetings or classes.
print, copy, scan & fax;Multi-function machines, toner, and paper used to duplicate, digitize, and transmit physical documents.
product manuals;Printed or digital instructional booklets containing assembly directions, troubleshooting guides, and warranty information.
puzzles;Brain teasers, jigsaw pieces, and logic games designed to challenge the mind and provide solitary entertainment.
radar detectors;Electronic devices used by motorists to identify the presence of police radar and avoid speeding tickets.
religious items;Ritual objects, sacred texts, and symbolic artifacts used for prayer, meditation, and spiritual worship.
retail;Point-of-sale systems, mannequins, and display shelving used by businesses to sell merchandise to consumers.
room divider accessories;Hardware components, hinges, and stabilizing bases used to assemble and support freestanding privacy screens.
room dividers;Folding screens and portable partitions used to visually separate larger spaces or provide temporary privacy.
science & laboratory;Beakers, microscopes, and testing chemicals used for conducting experiments and educational demonstrations.
sheet music;Printed musical notation and chord charts used by musicians to learn and perform specific compositions.
shelving;Wall-mounted boards, freestanding bookcases, and wire racks used to display items and organize storage spaces.
shelving accessories;Brackets, shelf liners, and dividers designed to support, protect, and optimize open storage units.
shipping supplies;Corrugated boxes, bubble wrap, and packing tape essential for securely packaging goods for mail transit.
shoe accessories;Shoelaces, protective insoles, and cleaning polish used to maintain the fit and appearance of footwear.
shoes;Protective and fashionable coverings for the human foot, including sneakers, boots, and formal dress footwear.
shopping totes;Reusable, durable bags made of canvas or mesh designed for carrying groceries and retail purchases.
signage;Printed banners, neon displays, and informational boards used to communicate directions or advertise businesses.
small engines;Compact internal combustion motors used to power lawnmowers, chainsaws, and portable generators.
smoking accessories;Lighters, ashtrays, rolling papers, and pipes used by individuals who consume tobacco or herbal products.
sofa accessories;Slipcovers, replacement legs, and decorative throw pillows used to protect or style living room couches.
sofas;Large, upholstered seating furniture designed to comfortably accommodate multiple people in a living area.
speed radars;Handheld or mounted devices used by law enforcement or sports officials to measure the velocity of moving objects.
storage tanks;Large, secure industrial containers designed to hold bulk liquids, compressed gases, or agricultural grain.
suitcases;Hard-shell or soft-sided luggage equipped with handles and wheels, used for packing clothing during travel.
swaddling & receiving blankets;Soft, lightweight fabric wraps designed to securely bundle and comfort newborn infants.
table accessories;Cloth runners, placemats, and protective pads used to decorate and shield dining room surfaces.
tables;Furniture featuring a flat horizontal surface supported by legs, used for dining, working, or displaying items.
tobacco products;Consumable goods including cigarettes, cigars, and loose leaf blends made from cured tobacco leaves.
toll collection devices;Electronic transponders mounted in vehicles to automatically pay highway and bridge usage fees.
tool accessories;Drill bits, saw blades, and sanding belts that attach to power tools to perform specific cutting or shaping tasks.
tools;Handheld implements and power devices like hammers, drills, and wrenches used for construction and DIY repairs.
toys;Playthings including action figures, dolls, and building blocks designed to entertain and educate children.
train cases;Hard-sided, structured cosmetic boxes with a handle, originally used for carrying toiletries during rail travel.
umbrella sleeves & cases;Protective fabric covers and structured tubes designed to store and transport wet or dry umbrellas.
vehicle parts & accessories;Replacement components, tires, and add-on enhancements used to repair or customize automobiles and motorcycles.
vehicles;Motorized modes of transportation including cars, trucks, and boats designed to move people or cargo.
video;Televisions, projectors, and physical media players used to display moving visual entertainment.
video game console accessories;Controllers, charging docks, and protective skins designed to enhance the experience of playing console video games.
video game consoles;Dedicated electronic entertainment devices designed to connect to a television and play interactive digital games.
video game software;Interactive digital entertainment programs distributed on physical discs, cartridges, or via digital download.
weapons;Firearms, bladed tools, and archery equipment intended for hunting, self-defense, or recreational target shooting.
wedding ceremony supplies;Decorative arches, ring bearer pillows, and guest books specifically designed for marriage celebrations.
wood stoves;Cast iron or steel heating appliances designed to efficiently burn firewood to warm interior spaces.
work safety protective gear;Hard hats, steel-toe boots, and high-visibility vests worn to prevent injuries in hazardous work environments.
